code_ibge;name;slug;region_code
1100106;GUAJARÁ-MIRIM;Guajará-Mirim;RO
1100379;ALTO ALEGRE DOS PARECIS;Alto Alegre dos Parecis;RO
1100205;PORTO VELHO;Porto Velho;RO
1100452;BURITIS;Buritis;RO
1100122;JI-PARANÁ;Ji-Paraná;RO
1100924;CHUPINGUAIA;Chupinguaia;RO
1100023;ARIQUEMES;Ariquemes;RO
1100940;CUJUBIM;Cujubim;RO
1100049;CACOAL;Cacoal;RO
1101435;NOVA UNIÃO;Nova União;RO
1100189;PIMENTA BUENO;Pimenta Bueno;RO
1101450;PARECIS;Parecis;RO
1100304;VILHENA;Vilhena;RO
1101468;PIMENTEIRAS DO OESTE;Pimenteiras do Oeste;RO
1100114;JARU;Jaru;RO
1101476;PRIMAVERA DE RONDÔNIA;Primavera de Rondônia;RO
1100155;OURO PRETO DO OESTE;Ouro Preto do Oeste;RO
1101484;SÃO FELIPE D'OESTE;São Felipe D'Oeste;RO
1100254;PRESIDENTE MÉDICI;Presidente Médici;RO
1101492;SÃO FRANCISCO DO GUAPORÉ;São Francisco do Guaporé;RO
1100080;COSTA MARQUES;Costa Marques;RO
1101559;TEIXEIRÓPOLIS;Teixeirópolis;RO
1100064;COLORADO DO OESTE;Colorado do Oeste;RO
1101757;VALE DO ANARI;Vale do Anari;RO
1100098;ESPIGÃO D'OESTE;Espigão D'Oeste;RO
1400027;AMAJARI;Amajari;RR
1100056;CEREJEIRAS;Cerejeiras;RO
1400175;CANTÁ;Cantá;RR
1100288;ROLIM DE MOURA;Rolim de Moura;RO
1400233;CAROEBE;Caroebe;RR
5204557;CALDAZINHA;Caldazinha;GO
1400282;IRACEMA;Iracema;RR
1100015;ALTA FLORESTA D'OESTE;Alta Floresta D'Oeste;RO
1400456;PACARAIMA;Pacaraima;RR
1100346;ALVORADA D'OESTE;Alvorada D'Oeste;RO
1400472;RORAINÓPOLIS;Rorainópolis;RR
1100031;CABIXI;Cabixi;RO
1400704;UIRAMUTÃ;Uiramutã;RR
1100130;MACHADINHO D'OESTE;Machadinho D'Oeste;RO
1500859;ANAPU;Anapu;PA
1100148;NOVA BRASILÂNDIA D'OESTE;Nova Brasilândia D'Oeste;RO
1501253;BANNACH;Bannach;PA
1100296;SANTA LUZIA D'OESTE;Santa Luzia D'Oeste;RO
1501451;BELTERRA;Belterra;PA
1100320;SÃO MIGUEL DO GUAPORÉ;São Miguel do Guaporé;RO
1501956;CACHOEIRA DO PIRIÁ;Cachoeira do Piriá;PA
1100338;Nova Mamoré;Nova Mamoré;RO
1502152;CANAÃ DOS CARAJÁS;Canaã dos Carajás;PA
5212055;JESÚPOLIS;Jesúpolis;GO
1502855;CURUÁ;Curuá;PA
5218391;PROFESSOR JAMIL;Professor Jamil;GO
1503044;FLORESTA DO ARAGUAIA;Floresta do Araguaia;PA
5219738;SANTO ANTÔNIO DE GOIÁS;Santo Antônio de Goiás;GO
1504422;MARITUBA;Marituba;PA
5205513;COCALZINHO DE GOIÁS;Cocalzinho de Goiás;GO
1504976;NOVA IPIXUNA;Nova Ipixuna;PA
5221197;TEREZÓPOLIS DE GOIÁS;Terezópolis de Goiás;GO
1505635;PIÇARRA;Piçarra;PA
5221577;UIRAPURU;Uirapuru;GO
1505650;PLACAS;Placas;PA
5203962;BURITINÓPOLIS;Buritinópolis;GO
1506112;QUATIPURU;Quatipuru;PA
5203939;BURITI DE GOIÁS;Buriti de Goiás;GO
1507466;SÃO JOÃO DA PONTA;São João da Ponta;PA
5209291;GUARAÍTA;Guaraíta;GO
1507755;SAPUCAIA;Sapucaia;PA
5222203;VILA BOA;Vila Boa;GO
1508035;TRACUATEUA;Tracuateua;PA
5209937;INACIOLÂNDIA;Inaciolândia;GO
1600808;VITÓRIA DO JARI;Vitória do Jari;AP
5201454;APARECIDA DO RIO DOCE;Aparecida do Rio Doce;GO
1700301;AGUIARNÓPOLIS;Aguiarnópolis;TO
5205471;CHAPADÃO DO CÉU;Chapadão do Céu;GO
1703057;BANDEIRANTES DO TOCANTINS;Bandeirantes do Tocantins;TO
5216452;PEROLÂNDIA;Perolândia;GO
1703073;BARRA DO OURO;Barra do Ouro;TO
5205497;CIDADE OCIDENTAL;Cidade Ocidental;GO
1704600;CHAPADA DE AREIA;Chapada de Areia;TO
5213772;MONTIVIDIU DO NORTE;Montividiu do Norte;GO
1705102;CHAPADA DA NATIVIDADE;Chapada da Natividade;TO
5205059;CASTELÂNDIA;Castelândia;GO
1706258;CRIXÁS DO TOCANTINS;Crixás do Tocantins;TO
5219712;SANTO ANTÔNIO DA BARRA;Santo Antônio da Barra;GO
1709807;IPUEIRAS;Ipueiras;TO
5200555;ALTO HORIZONTE;Alto Horizonte;GO
1712157;LAVANDEIRA;Lavandeira;TO
5214879;NOVA IGUAÇU DE GOIÁS;Nova Iguaçu de Goiás;GO
1712454;LUZINÓPOLIS;Luzinópolis;TO
5103379;COTRIGUAÇU;Cotriguaçu;MT
1713700;MONTE SANTO DO TOCANTINS;Monte Santo do Tocantins;TO
5106455;PLANALTO DA SERRA;Planalto da Serra;MT
1715507;OLIVEIRA DE FÁTIMA;Oliveira de Fátima;TO
5107404;SÃO PEDRO DA CIPA;São Pedro da Cipa;MT
1718451;PUGMIL;Pugmil;TO
5106653;PONTAL DO ARAGUAIA;Pontal do Araguaia;MT
1718899;SANTA RITA DO TOCANTINS;Santa Rita do Tocantins;TO
5107065;QUERÊNCIA;Querência;MT
1720002;SANTA TEREZINHA DO TOCANTINS;Santa Terezinha do Tocantins;TO
5107198;RIBEIRÃOZINHO;Ribeirãozinho;MT
1720978;TALISMÃ;Talismã;TO
5106851;PORTO ESTRELA;Porto Estrela;MT
1721257;TUPIRAMA;Tupirama;TO
5108857;NOVA MARILÂNDIA;Nova Marilândia;MT
2100154;ÁGUA DOCE DO MARANHÃO;Água Doce do Maranhão;MA
1200104;BRASILÉIA;Brasiléia;AC
2100436;ALTO ALEGRE DO MARANHÃO;Alto Alegre do Maranhão;MA
1200203;CRUZEIRO DO SUL;Cruzeiro do Sul;AC
2100477;ALTO ALEGRE DO PINDARÉ;Alto Alegre do Pindaré;MA
1200336;MÂNCIO LIMA;Mâncio Lima;AC
2100550;AMAPÁ DO MARANHÃO;Amapá do Maranhão;MA
5108907;NOVA MARINGÁ;Nova Maringá;MT
2100832;APICUM-AÇU;Apicum-Açu;MA
1200302;FEIJÓ;Feijó;AC
2100873;ARAGUANÃ;Araguanã;MA
5107263;SANTO AFONSO;Santo Afonso;MT
2101251;BACABEIRA;Bacabeira;MA
5106158;NOVA BANDEIRANTES;Nova Bandeirantes;MT
2101350;BACURITUBA;Bacurituba;MA
5108956;NOVA MONTE VERDE;Nova Monte Verde;MT
2101731;BELÁGUA;Belágua;MA
5108808;NOVA GUARITA;Nova Guarita;MT
2101772;BELA VISTA DO MARANHÃO;Bela Vista do Maranhão;MA
5107248;SANTA CARMEM;Santa Carmem;MT
2101939;BERNARDO DO MEARIM;Bernardo do Mearim;MA
5107941;TABAPORÃ;Tabaporã;MT
2101970;BOA VISTA DO GURUPI;Boa Vista do Gurupi;MA
5100359;ALTO BOA VISTA;Alto Boa Vista;MT
2102036;BOM JESUS DAS SELVAS;Bom Jesus das Selvas;MA
5102694;CANABRAVA DO NORTE;Canabrava do Norte;MT
2102077;BOM LUGAR;Bom Lugar;MA
5103353;CONFRESA;Confresa;MT
2102150;BREJO DE AREIA;Brejo de Areia;MA
5107354;SÃO JOSÉ DO XINGU;São José do Xingu;MT
2102325;BURITICUPU;Buriticupu;MA
5103957;GLÓRIA D'OESTE;Glória D'Oeste;MT
2102358;BURITIRANA;Buritirana;MA
5105234;LAMBARI D'OESTE;Lambari D'Oeste;MT
2102374;CACHOEIRA GRANDE;Cachoeira Grande;MA
1200401;RIO BRANCO;Rio Branco;AC
2102556;CAMPESTRE DO MARANHÃO;Campestre do Maranhão;MA
5000252;ALCINÓPOLIS;Alcinópolis;MS
2102754;CAPINZAL DO NORTE;Capinzal do Norte;MA
5006002;NOVA ALVORADA DO SUL;Nova Alvorada do Sul;MS
2103125;CENTRAL DO MARANHÃO;Central do Maranhão;MA
1200500;SENA MADUREIRA;Sena Madureira;AC
2103158;CENTRO DO GUILHERME;Centro do Guilherme;MA
1200609;TARAUACÁ;Tarauacá;AC
2103174;CENTRO NOVO DO MARANHÃO;Centro Novo do Maranhão;MA
1200708;XAPURI;Xapuri;AC
2103257;CIDELÂNDIA;Cidelândia;MA
1200385;PLÁCIDO DE CASTRO;Plácido de Castro;AC
2103554;CONCEIÇÃO DO LAGO-AÇU;Conceição do Lago-Açu;MA
1200450;SENADOR GUIOMARD;Senador Guiomard;AC
2103752;DAVINÓPOLIS;Davinópolis;MA
1200344;MANOEL URBANO;Manoel Urbano;AC
2104073;FEIRA NOVA DO MARANHÃO;Feira Nova do Maranhão;MA
1200054;ASSIS BRASIL;Assis Brasil;AC
2104081;FERNANDO FALCÃO;Fernando Falcão;MA
5006259;NOVO HORIZONTE DO SUL;Novo Horizonte do Sul;MS
